"","PlotID","year","quad","native.nonnative","shanDiv","X","Location","num_burn","cool.warm_slope","fire_preLNU_year","currentFRI","medianRefFRI","meanPFRID","meanCC_FRI","PFR","Mean_diam_cm","mean_diam_mm"
"131","BOB007","2022","Q1","NATIVE_shanDiv",0.0074309995088076,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"132","BOB007","2022","Q1","NONNATIVE_shanDiv",1.43213311764929,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"133","BOB007","2022","Q2","NATIVE_shanDiv",0.0299985904823996,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"134","BOB007","2022","Q2","NONNATIVE_shanDiv",0.742353919702528,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"135","BOB007","2022","Q3","NATIVE_shanDiv",0.237942193163572,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"136","BOB007","2022","Q3","NONNATIVE_shanDiv",1.12628374526007,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"137","BOB007","2022","Q4","NATIVE_shanDiv",0,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"138","BOB007","2022","Q4","NONNATIVE_shanDiv",0.935560575843786,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"139","BOB007","2022","Q5","NATIVE_shanDiv",0.0997856861683758,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"140","BOB007","2022","Q5","NONNATIVE_shanDiv",1.15436615043168,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"141","BOB008","2021","Q1","NATIVE_shanDiv",0.35630423667976,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"142","BOB008","2021","Q1","NONNATIVE_shanDiv",0.68218525320181,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"143","BOB008","2021","Q2","NATIVE_shanDiv",0.181151494309278,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"144","BOB008","2021","Q2","NONNATIVE_shanDiv",0.235588276345479,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"145","BOB008","2021","Q3","NATIVE_shanDiv",0.0930432885763098,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"146","BOB008","2021","Q3","NONNATIVE_shanDiv",0.7922280667412,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"147","BOB008","2021","Q4","NATIVE_shanDiv",0.146766968088946,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"148","BOB008","2021","Q4","NONNATIVE_shanDiv",0.0236176982042444,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"149","BOB008","2021","Q5","NATIVE_shanDiv",0.259125288123547,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"150","BOB008","2021","Q5","NONNATIVE_shanDiv",0.096365682144143,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
"151","BOB008","2022","Q1","NATIVE_shanDiv",0.436033103118512,8,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3125,3.125
