"","plot_yr_quad","AIRCAR","LYSARV","AVEBAR","BRADIS","BRODIA","BROHOR","BROMAD","CARPYC","CENMEL","CERGLO","EROBOT","EROCIC","EROMOS","FESBRO","FESMYU","GALMUR","GALPAR","GASPHL","GERDIS","GERMOL","HYPGLA","LACSER","LOGGAL","MEDPOL","SENVUL","SILGAL","SILMAR","SONASP","SONOLE","STEMED","TORARV","TORNOD","TRIHIR"
"129","BOB003_2022 Q4",0,0,35,0,0,0,2,0,2,0,0,7,0,0,3,0,0,0,0,0,3,0,0.05,0,0,0,2,0,0,0,0,0,0
"130","BOB003_2022 Q5",0,0,15,0,0,0,20,0,3,0,0,2,0,0,60,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,2
"131","BOB004_2021 Q1",0,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,0,0.9,0,0,0,0,0,0,0,0,0,0
"132","BOB004_2021 Q2",0,0,2,0,0,0,2.5,0,0,0,0,27,0,0,0.5,0,0,2,0,0,3,0,1.3,0,0,0,0,0,0,0,0,0,0
"133","BOB004_2021 Q3",0,0,1,0,0,0,1.5,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,3.2,0,0,0,0,0,0,0,0,0,0
"134","BOB004_2021 Q4",0,0,0,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,6.5,0,0.8,0,0.1,0,0,0,0,0,0,0,0
"135","BOB004_2021 Q5",0,0,0.5,0,0,0,0.8,0,0,0,0,7,0,0,0,0,0,0,0,0,2.8,0,2,0,0,0,0,0,0,0,0,0,0
"136","BOB004_2022 Q1",0,0,3,0,0,0,5,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0.5,0,0.05,0.3,0,0,0,0,0,0,0
"137","BOB004_2022 Q2",0,0,0.2,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0
"138","BOB004_2022 Q3",0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.05,0,0,0,0,0,0,0,0
"139","BOB004_2022 Q4",0,0,0.5,0,0,0,1,0,0.1,0,0,5,0,0,0,0,0,0,0,0,0.1,0,0.05,0,0.05,0,0,0,0,0,0,0,0
"140","BOB004_2022 Q5",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,3,0,0.05,0,0,0,0,0,0,0,0,0,0
"141","BOB005_2021 Q1",0,0,5,0,0,0,0,0,0.5,0,0,25,0,0,3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"142","BOB005_2021 Q2",0,0,10,0,0,0,0.8,0,0.3,0,0,15,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
