NewID	tjm1ID	family	mrt	Exotic/Native	RnA	RnA.original	RnA.source	RnA.notes	genus	Column 2
7153	7155	Liliaceae	Allium_obtusum_obtusum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7154	7156	Liliaceae	Allium_paniculatum_paniculatum	Exotic	NTm	NTm	T4.gen		Allium	Asparagales
7155	7157	Liliaceae	Allium_parishii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7156	7158	Liliaceae	Allium_parryi	Native	NTm	NTm	T4.gen		Allium	Asparagales
7157	7159	Liliaceae	Allium_parvum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7158	7160	Liliaceae	Allium_peninsulare	Native	NTm	NTm	T4.gen		Allium	Asparagales
7159	7161	Liliaceae	Allium_peninsulare_franciscanum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7160	7162	Liliaceae	Allium_peninsulare_peninsulare	Native	NTm	NTm	T4.gen		Allium	Asparagales
7161	7163	Liliaceae	Allium_platycaule	Native	NTm	NTm	T4.gen		Allium	Asparagales
7162	7164	Liliaceae	Allium_praecox	Native	NTm	NTm	T4.gen		Allium	Asparagales
7163	7165	Liliaceae	Allium_punctum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7164	7166	Liliaceae	Allium_sanbornii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7165	7167	Liliaceae	Allium_sanbornii_congdonii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7166	7168	Liliaceae	Allium_sanbornii_sanbornii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7167	7169	Liliaceae	Allium_serra	Native	NTm	NTm	T4.gen		Allium	Asparagales
7168	7170	Liliaceae	Allium_sharsmithiae	Native	NTm	NTm	T4.gen		Allium	Asparagales
7169	7171	Liliaceae	Allium_shevockii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7170	7172	Liliaceae	Allium_siskiyouense	Native	NTm	NTm	T4.gen		Allium	Asparagales
7171	7173	Liliaceae	Allium_tolmiei_tolmiei	Native	NTm	NTm	T4.gen		Allium	Asparagales
7172	7174	Liliaceae	Allium_tribracteatum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7173	7175	Liliaceae	Allium_triquetrum	Exotic	NTm	NTm	T4.gen		Allium	Asparagales
7174	7176	Liliaceae	Allium_tuolumnense	Native	NTm	NTm	T4.gen		Allium	Asparagales
7175	7177	Liliaceae	Allium_unifolium	Native	NTm	NTm	T4.gen		Allium	Asparagales
7176	7178	Liliaceae	Allium_validum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7177	7179	Liliaceae	Allium_vineale	Exotic	NTm	NTm	T4.gen		Allium	Asparagales
7178	7180	Liliaceae	Allium_yosemitense	Native	NTm	NTm	T4.gen		Allium	Asparagales
4740	4742	Polemoniaceae	Allophyllum_divaricatum	Native	CFP	CFP	T6.fam		Allophyllum	Ericales
4741	4743	Polemoniaceae	Allophyllum_gilioides	Native	CFP	CFP	T6.fam		Allophyllum	Ericales
4742	4744	Polemoniaceae	Allophyllum_gilioides_gilioides	Native	CFP	CFP	T6.fam		Allophyllum	Ericales
4743	4745	Polemoniaceae	Allophyllum_gilioides_violaceum	Native	CFP	CFP	T6.fam		Allophyllum	Ericales
4744	4746	Polemoniaceae	Allophyllum_glutinosum	Native	CFP	CFP	T6.fam		Allophyllum	Ericales
4745	4747	Polemoniaceae	Allophyllum_integrifolium	Native	CFP	CFP	T6.fam		Allophyllum	Ericales
2838	2837	Ericaceae	Allotropa_virgata	Native	NTm	NTm	T4.fam	BB/DA	Allotropa	Ericales
1642	1641	Betulaceae	Alnus_incana_tenuifolia	Native	NTm	NTm	T4.fam		Alnus	Fagales
1643	1642	Betulaceae	Alnus_rhombifolia	Native	NTm	NTm	T4.fam		Alnus	Fagales
1644	1643	Betulaceae	Alnus_rubra	Native	NTm	NTm	T4.fam		Alnus	Fagales
1645	1644	Betulaceae	Alnus_viridis_sinuata	Native	NTm	NTm	T4.fam		Alnus	Fagales
7179	7109	Liliaceae	Aloe_saponaria	Exotic					Aloe	Asparagales
7489	7490	Poaceae	Alopecurus_aequalis	Native	NTm	NTm	T4.fam		Alopecurus	Poales
7490	7491	Poaceae	Alopecurus_carolinianus	Native	NTm	NTm	T4.fam		Alopecurus	Poales
7491	7492	Poaceae	Alopecurus_geniculatus	Native	NTm	NTm	T4.fam		Alopecurus	Poales
7492	7493	Poaceae	Alopecurus_myosuroides	Exotic	NTm	NTm	T4.fam		Alopecurus	Poales
7493	7494	Poaceae	Alopecurus_pratensis	Exotic	NTm	NTm	T4.fam		Alopecurus	Poales
7494	7495	Poaceae	Alopecurus_saccatus	Native	NTm	NTm	T4.fam		Alopecurus	Poales
6616	6617	Verbenaceae	Aloysia_wrightii	Native					Aloysia	Lamiales
208	208	Amaranthaceae	Alternanthera_caracasana	Exotic					Alternanthera	Caryophyllales
209	209	Amaranthaceae	Alternanthera_philoxeroides	Exotic					Alternanthera	Caryophyllales
1841	1840	Brassicaceae	Alyssum_alyssoides	Exotic					Alyssum	Brassicales
1842	1841	Brassicaceae	Alyssum_desertorum	Exotic					Alyssum	Brassicales
1843	1842	Brassicaceae	Alyssum_minus_micranthum	Exotic					Alyssum	Brassicales
1844	1843	Brassicaceae	Alyssum_strigosum	Exotic					Alyssum	Brassicales
210	210	Amaranthaceae	Amaranthus_albus	Exotic	WTD	WTD	T8.gen		Amaranthus	Caryophyllales
211	211	Amaranthaceae	Amaranthus_arenicola	Exotic	WTD	WTD	T8.gen		Amaranthus	Caryophyllales
212	212	Amaranthaceae	Amaranthus_blitoides	Native	WTD	WTD	T8.gen		Amaranthus	Caryophyllales
